ID_TIPO_DOCUMENTO,ID_SEXO_BIOLOGICO,FECHA_NACIMIENTO,ID_PAIS,ID_MUNICIPIO,PERIODO
CC,M,05/08/2003 12:00:00 AM,170,76834,20202
CC,M,04/26/2003 12:00:00 AM,170,76834,20202
CC,M,06/08/2002 12:00:00 AM,170,76834,20202
TI,M,09/03/2003 12:00:00 AM,170,76834,20202
TI,F,06/22/2003 12:00:00 AM,170,76834,20202
TI,F,09/15/2003 12:00:00 AM,170,76834,20202
TI,M,09/29/2003 12:00:00 AM,170,76834,20202
TI,F,09/05/2003 12:00:00 AM,170,76834,20202
CC,F,06/20/2000 12:00:00 AM,170,76834,20202
CC,F,06/21/2002 12:00:00 AM,170,76834,20202
CC,M,02/14/2002 12:00:00 AM,170,76834,20202
CC,F,09/04/2002 12:00:00 AM,170,76834,20202
CC,F,09/16/2002 12:00:00 AM,170,76834,20202
TI,M,10/01/2003 12:00:00 AM,170,76834,20202
TI,F,09/28/2003 12:00:00 AM,170,76834,20202
TI,M,09/27/2003 12:00:00 AM,170,76834,20202
TI,M,10/23/2003 12:00:00 AM,170,76834,20202
CC,M,07/23/2002 12:00:00 AM,170,76834,20202
CC,M,11/20/2002 12:00:00 AM,170,76834,20202
CC,F,11/18/2002 12:00:00 AM,170,76834,20202
CC,M,03/02/2001 12:00:00 AM,170,76834,20202
CC,M,12/10/2002 12:00:00 AM,170,76834,20202
CC,F,11/20/2002 12:00:00 AM,170,76834,20202
CC,F,11/29/2002 12:00:00 AM,170,76834,20202
TI,M,02/13/2003 12:00:00 AM,170,76834,20202
CC,F,02/14/2003 12:00:00 AM,170,76834,20202
CC,M,02/05/2003 12:00:00 AM,170,76834,20202
CC,F,03/31/2003 12:00:00 AM,170,76834,20202
CC,M,04/03/2003 12:00:00 AM,170,76834,20202
CC,F,03/28/2003 12:00:00 AM,170,76834,20202
TI,M,11/18/2003 12:00:00 AM,170,76834,20202
TI,F,06/22/2003 12:00:00 AM,170,76834,20202
TI,F,07/09/2003 12:00:00 AM,170,76834,20202
TI,M,07/25/2003 12:00:00 AM,170,76834,20202
CC,M,04/30/2003 12:00:00 AM,170,76834,20202
CC,M,10/21/2000 12:00:00 AM,170,76834,20202
CC,M,05/26/2001 12:00:00 AM,170,76834,20202
CC,F,07/15/2001 12:00:00 AM,170,76834,20202
TI,F,08/08/2003 12:00:00 AM,170,76834,20202
TI,M,08/16/2003 12:00:00 AM,170,76834,20202
TI,M,08/22/2003 12:00:00 AM,170,76834,20202
TI,F,07/27/2003 12:00:00 AM,170,76834,20202
CC,M,02/14/2001 12:00:00 AM,170,76834,20202
CC,F,03/05/2001 12:00:00 AM,170,76834,20202
CC,F,02/14/2001 12:00:00 AM,170,76834,20202
CC,M,03/16/2001 12:00:00 AM,170,76834,20202
CC,M,03/07/2001 12:00:00 AM,170,76834,20202
CC,F,04/30/2001 12:00:00 AM,170,76834,20202
CC,F,03/16/2003 12:00:00 AM,170,76890,20202
CC,M,03/10/2000 12:00:00 AM,170,76890,20202
CC,M,03/09/2002 12:00:00 AM,170,76834,20202
CC,M,04/01/2002 12:00:00 AM,170,76834,20202
CC,M,01/30/2002 12:00:00 AM,170,76834,20202
CC,F,01/07/2002 12:00:00 AM,170,76834,20202
TI,M,04/17/2000 12:00:00 AM,170,76834,20202
CC,M,11/13/2002 12:00:00 AM,170,76834,20202
CC,M,04/21/2000 12:00:00 AM,170,76834,20202
CC,F,03/01/2001 12:00:00 AM,170,76834,20202
CC,F,08/21/2002 12:00:00 AM,170,76834,20202
CC,M,08/31/2000 12:00:00 AM,170,76834,20202
CC,M,06/24/2001 12:00:00 AM,170,76834,20202
TI,M,08/19/2003 12:00:00 AM,170,76892,20202
CC,F,02/04/2002 12:00:00 AM,170,76834,20202
CC,M,01/14/2003 12:00:00 AM,170,76895,20202
CC,M,07/01/2002 12:00:00 AM,170,76828,20202
CC,F,08/17/1995 12:00:00 AM,170,76834,20202
CC,F,10/31/1999 12:00:00 AM,170,11001,20202
CC,F,07/24/2001 12:00:00 AM,170,76834,20202
CC,M,05/31/2002 12:00:00 AM,170,76834,20202
TI,M,10/28/2003 12:00:00 AM,170,76834,20202
TI,M,09/17/2003 12:00:00 AM,170,76834,20202
