"Identificador de la publicación","Identificador de la cuenta","Nombre de usuario de la cuenta","Nombre de la cuenta",Descripción,"Duración (segundos)","Hora de publicación","Enlace permanente","Tipo de publicación","Comentario sobre los datos",Fecha,Impresiones,Alcance,"Me gusta","Veces que se compartió",Respuestas,"Clics en el enlace",Navegación,"Visitas al perfil","Toques en stickers",Seguimientos
18075988498604942,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"10/26/2024 22:16",,"Historia de Instagram",,Total,655,635,3,1,0,,719,1,4,
17928936071955964,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,10,"10/26/2024 22:18",,"Historia de Instagram",,Total,652,632,3,0,0,,739,2,16,
17867499105234175,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Nos vemos hoy ✅🤩 2:00 p. m.
📍Lago Chilicote",15,"10/27/2024 07:35",,"Historia de Instagram",,Total,640,607,5,2,0,,693,,,
18004697246497443,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","En este momento, con la SEDAMA estamos participando de la Feria de AgroTurismo✅✌🏽",15,"10/27/2024 07:46",,"Historia de Instagram",,Total,575,564,3,0,0,,698,1,,
18019474856544330,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Deportistas tulueños en la llama olímpica de los JUEGOS NACIONALES JUVENILES🤩💙🙌🏼",15,"10/27/2024 10:22",,"Historia de Instagram",,Total,557,543,4,0,0,,609,2,,1
17869451562223465,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Último día de Feria de AgroTurismo 🙌🏼✅",15,"10/27/2024 13:17",,"Historia de Instagram",,Total,545,540,3,0,0,,572,1,,
17858144376277420,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"10/27/2024 15:00",,"Historia de Instagram",,Total,674,632,9,0,1,,608,,,
18031698938102648,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Historias y cuentos con HARRY GUERRERO",15,"10/27/2024 15:11",,"Historia de Instagram",,Total,546,546,7,0,0,,629,,,
18032383280460015,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"10/27/2024 15:11",,"Historia de Instagram",,Total,530,530,6,0,1,,601,1,,
18252917665260605,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Óscar Tejada artista tulueño #ParaSerFelices 💙",43,"10/27/2024 15:42",,"Historia de Instagram",,Total,525,525,7,0,0,,572,1,,
17989742564718947,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Sensación RUMBERA ✨🎼 Bailando salsa al ritmo de",23,"10/27/2024 15:44",,"Historia de Instagram",,Total,515,515,6,0,0,,565,,,
18045669536071643,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"10/27/2024 15:50",,"Historia de Instagram",,Total,513,513,3,0,0,,552,,,
18051725701766272,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"10/27/2024 17:39",,"Historia de Instagram",,Total,530,530,12,0,0,,578,,6,
18082915912520355,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"10/27/2024 17:40",,"Historia de Instagram",,Total,522,522,9,0,0,,572,,,
17909915583019199,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"10/27/2024 17:40",,"Historia de Instagram",,Total,513,513,7,0,0,,572,,,
18046713709842015,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Espacios para las FAMILIAS TULUEÑAS",11,"10/27/2024 17:42",,"Historia de Instagram",,Total,512,512,11,0,1,,543,,,
18000786221694437,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Así vivimos nuestro Mundo de la Fantasía",15,"10/27/2024 19:06",,"Historia de Instagram",,Total,501,501,10,0,0,,551,3,,
18049924756802226,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"10/28/2024 06:21",,"Historia de Instagram",,Total,927,826,5,0,0,1,511,3,,
18045532001084721,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"10/28/2024 06:48",https://instagram.com/stories/alcaldiadetulua/3488849702856918211,"Historia de Instagram",,Total,466,466,3,0,0,,515,,,
17967652271674300,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,23,"10/28/2024 08:52",,"Historia de Instagram",,Total,564,535,10,0,0,,552,3,,
18264487903301149,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Inscríbete ahora:",15,"10/28/2024 09:22",,"Historia de Instagram",,Total,799,733,3,1,0,7,521,,,
17986186085740210,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Visita técnica en lo que será el intercambiador de sentido de la carrera 30 Hoy estamos realizando Con ingenieros y arquitectos urbanistas de @infitulua y la Secretaría de Hábitat e Infraestructura",15,"10/28/2024 10:12",,"Historia de Instagram",,Total,466,466,7,0,0,,511,1,,
17939094371922576,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Inscríbete ahora ➡️",15,"10/28/2024 13:43",,"Historia de Instagram",,Total,482,482,2,2,0,10,558,3,,
18068447857567536,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"10/28/2024 15:02",,"Historia de Instagram",,Total,471,470,7,1,1,,529,3,,
18033960899337543,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"10/28/2024 16:50",,"Historia de Instagram",,Total,1061,921,13,0,0,,498,,,
18424512055074586,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Ven ahora al  MERCADO CAMPESINO✨💙",15,"10/29/2024 06:19",,"Historia de Instagram",,Total,459,459,7,0,0,,481,1,,
18133592785333074,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"10/29/2024 07:35",,"Historia de Instagram",,Total,420,417,3,0,0,,442,,,
17919573546000391,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","En pocos minutos daremos inicio a nuestro live
¡No te lo pierdas!",15,"10/29/2024 07:41",,"Historia de Instagram",,Total,406,404,2,0,0,2,435,1,,
18043680980114822,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",¡Mañana!,10,"10/29/2024 07:53",,"Historia de Instagram",,Total,394,393,4,1,0,,433,,,
18056866960869639,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,8,"10/29/2024 07:56",,"Historia de Instagram",,Total,526,507,3,0,0,,426,,,
18047960521949697,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","@robertposadarosero  @santiagoguzmanp @zule_acevedo @cristianhernandezv @karolberon25 @natagiln @raigosa_21 @gisecalero16",15,"10/29/2024 10:00",,"Historia de Instagram",,Total,1135,1029,9,1,1,,424,1,,
18360453409136151,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Promoción y Prevención para la Comunidad Diversa ASEGURAMIENTO • SISBÉN • SALUD MENTAL • PIC MUNICIPAL • APS J O R N A D A  D E  S A L U D",15,"10/29/2024 12:42",,"Historia de Instagram",,Total,451,446,9,0,0,,515,1,,
18059377654769384,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,5,"10/29/2024 13:22",,"Historia de Instagram",,Total,430,430,5,0,0,,470,,,
18428033086072363,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"10/29/2024 13:22",,"Historia de Instagram",,Total,424,424,6,1,0,,453,1,,
18153593350331757,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"10/29/2024 13:39",,"Historia de Instagram",,Total,422,422,9,1,1,,463,,2,
18050650282798870,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"10/29/2024 13:53",,"Historia de Instagram",,Total,425,425,5,0,0,2,491,1,,
18026522756192789,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡NOS VEMOS!",15,"10/29/2024 17:18",,"Historia de Instagram",,Total,469,465,4,0,0,,543,2,4,
18112947982420938,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","NOS VEMOS MAÑANA 😎",15,"10/29/2024 18:36",,"Historia de Instagram",,Total,496,492,9,3,0,,603,2,,
18015062849355367,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"10/30/2024 06:34",,"Historia de Instagram",,Total,1644,1358,8,1,0,3,771,,,
18041260595138430,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","#ParaSerFelices ✅",10,"10/30/2024 08:22",,"Historia de Instagram",,Total,656,636,9,1,0,,771,,,
17858257464278749,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Lanzamiento del Programa Talento TECH✅💙 Del MINTIC con la Administración Municipal a través de la Secretaría de Educación y el Departamento TIC🙌🏼",15,"10/30/2024 08:32",,"Historia de Instagram",,Total,1164,985,13,1,0,,792,,,
