Registro,Dispositivo,Año de Nacimiento del encuestado,¿Conoce qué hace la institución INFITULUA?,¿Cuáles de estos servicios ha utilizado? ,¿Cómo calificaría los servicios de Infitulua si los ha utilizado recientemente?,Duración
2024-05-03 06:56:20,phone,1988,"Sé que existe, pero no sé qué hace",Ninguno,Regulares,01:24
2024-05-02 23:58:45,phone,1976,"Sé que existe, pero no sé qué hace","Cliente de La Galeria, Ninguno",No he utilizado los servicios,00:40
2024-05-02 23:41:17,phone,91,"Si, lo sé muy bien","Cliente nueva Terminal de Transportes, Cliente del Bicentenario, Cliente de Mercaplaza, Cliente de La Galeria, Cliente Nuevo Centro Comercial Pabellón",Buenos,00:34
2024-05-02 23:34:04,phone,1990,"Más o menos, pero no lo sé todo.","Cliente nueva Terminal de Transportes, Cliente del Bicentenario",Buenos,00:56
2024-05-02 21:57:40,phone,1986,"Más o menos, pero no lo sé todo.","Cliente nueva Terminal de Transportes, Cliente del Bicentenario, Cliente de La Galeria, Cliente Nuevo Centro Comercial Pabellón",Buenos,01:12
2024-05-02 20:46:08,phone,11/26/1968,"Sé que existe, pero no sé qué hace","Cliente nueva Terminal de Transportes, Cliente del Bicentenario, Cliente Nuevo Centro Comercial Pabellón",No he utilizado los servicios,01:25
2024-04-26 22:58:20,phone,1974,"Si, lo sé muy bien","Cliente nueva Terminal de Transportes, Cliente del Bicentenario, Cliente de La Galeria, Cliente Nuevo Centro Comercial Pabellón",Buenos,01:57
2024-04-26 22:15:03,phone,90,"Si, lo sé muy bien","Cliente nueva Terminal de Transportes, Cliente del Bicentenario, Cliente de La Galeria, Cliente Nuevo Centro Comercial Pabellón",Buenos,01:13
2024-04-26 21:23:55,phone,1995,"Si, lo sé muy bien",Cliente nueva Terminal de Transportes,Regulares,00:45
2024-04-26 18:00:33,phone,1997,"Sé que existe, pero no sé qué hace",Cliente del Bicentenario,Muy buenos,00:44
2024-04-26 14:57:25,phone,29 12 88,"Más o menos, pero no lo sé todo.",Ninguno,Malos,00:39
2024-04-26 13:45:47,phone,Junio 13 1997,"Más o menos, pero no lo sé todo.","Cliente nueva Terminal de Transportes, Cliente del Bicentenario, Cliente de La Galeria",,00:59
2024-04-26 12:10:51,phone,1997,"Si, lo sé muy bien",Ninguno,Muy buenos,00:38
2024-04-26 08:26:11,phone,1979,"Más o menos, pero no lo sé todo.","Cliente nueva Terminal de Transportes, Cliente de La Galeria",No he utilizado los servicios,08:21
2024-04-26 07:29:36,phone,1978,"Más o menos, pero no lo sé todo.",Cliente del Bicentenario,Buenos,01:10
